t_seat_pos,seat_pos,t_imus,qang,t_leg_stim,leg_stim,pic_leg_stim,leg_stim_duration
1570045412.0816498,293.0,1570045412.049971,5.908315977048227,1570045412.0457926,1.0,1.0,
1570045412.1136494,298.0,1570045412.059971,5.748548714747159,1570045412.1445594,1.0,0.0,
1570045412.1459885,302.0,1570045412.069971,6.863947758044989,1570045412.2170122,1.0,0.0,
1570045412.1818511,308.0,1570045412.079971,6.4278506091956045,1570045412.2307613,1.0,0.0,
1570045412.2138898,314.0,1570045412.089971,7.478460463964332,1570045412.31181,1.0,0.0,
1570045412.2458818,322.0,1570045412.099971,8.031500421830385,1570045412.388269,1.0,0.0,
1570045412.2819364,330.0,1570045412.109971,8.597476716683628,1570045412.4732687,1.0,0.0,
1570045412.3138816,338.0,1570045412.119971,8.361041017528024,1570045412.568307,1.0,0.0,
1570045412.3459117,347.0,1570045412.129971,9.295958964304111,1570045412.582041,1.0,0.0,
1570045412.38165,355.0,1570045412.139971,9.860035494995271,1570045412.6458192,1.0,0.0,
1570045412.4136486,363.0,1570045412.149971,9.820579629839331,1570045412.735644,1.0,0.0,
1570045412.4459052,370.0,1570045412.159971,10.906825478002402,1570045412.8170054,1.0,0.0,
1570045412.481717,379.0,1570045412.169971,10.714164622811467,1570045412.9233406,1.0,0.0,
1570045412.5136273,384.0,1570045412.179971,10.156581207310985,1570045412.92454,1.0,0.0,
1570045412.5456998,391.0,1570045412.189971,10.23582965577961,1570045412.9882393,0.0,1.0,
1570045412.5820522,395.0,1570045412.199971,10.29579806150066,1570045413.0732071,0.0,0.0,
1570045412.613782,401.0,1570045412.209971,10.178277014143987,1570045413.1657484,0.0,0.0,
1570045412.6457663,404.0,1570045412.219971,10.29947766556652,1570045413.1694653,0.0,0.0,
1570045412.6816545,407.0,1570045412.229971,10.314378294368312,1570045413.2458375,0.0,0.0,
1570045412.7138915,408.0,1570045412.239971,10.314378294368312,1570045413.3445745,0.0,0.0,
1570045412.7458322,411.0,1570045412.249971,10.371757352572843,1570045413.4170437,0.0,0.0,
1570045412.7818038,411.0,1570045412.259971,10.54013027048302,1570045413.5068426,0.0,0.0,
1570045412.8138044,412.0,1570045412.269971,10.779331150979695,1570045413.5257711,0.0,0.0,
1570045412.845685,411.0,1570045412.279971,10.924147776631155,1570045413.5883648,-1.0,1.0,
1570045412.881754,412.0,1570045412.2899709,11.018384071249063,1570045413.67333,-1.0,0.0,
1570045412.9137049,413.0,1570045412.2999709,11.193649803168903,1570045413.764578,-1.0,0.0,
1570045412.9457586,412.0,1570045412.3099709,11.311067391955715,1570045413.7807944,-1.0,0.0,
1570045412.981672,412.0,1570045412.3199708,11.230236144328055,1570045413.8482516,-1.0,0.0,
1570045413.0136213,413.0,1570045412.3299708,11.444188907916804,1570045413.9306126,-1.0,0.0,
1570045413.0456557,412.0,1570045412.3399708,11.295221240905654,1570045414.0170643,-1.0,0.0,
1570045413.0816565,413.0,1570045412.3499708,11.124902319748927,1570045414.0430481,-1.0,0.0,
1570045413.1136787,413.0,1570045412.3599708,10.845244693639554,1570045414.1245449,-1.0,0.0,
1570045413.1456373,414.0,1570045412.3699708,10.988730378340922,1570045414.1883209,-1.0,0.0,
1570045413.181634,414.0,1570045412.3799708,10.753559137377763,1570045414.2733157,-1.0,0.0,
1570045413.2136881,414.0,1570045412.3899708,10.733268908024847,1570045414.3645458,-1.0,0.0,
1570045413.245781,415.0,1570045412.3999708,10.348441857302179,1570045414.3820302,-1.0,0.0,
1570045413.2816923,415.0,1570045412.4099708,9.99591226041084,1570045414.4458635,-1.0,0.0,
1570045413.3136826,415.0,1570045412.4199708,9.99591226041084,1570045414.5445635,-1.0,0.0,
1570045413.3457396,417.0,1570045412.4299707,9.733088479766053,1570045414.6170642,-1.0,0.0,
1570045413.3817413,416.0,1570045412.4399707,9.736151108431164,1570045414.7245893,-1.0,0.0,
1570045413.4136949,417.0,1570045412.4499707,9.625056631506949,1570045414.7257864,-1.0,0.0,
1570045413.445779,418.0,1570045412.4599707,9.049043489913526,1570045414.7882404,-1.0,0.0,
1570045413.4816399,418.0,1570045412.4699707,9.054149778464536,1570045414.9645476,1.0,1.0,
1570045413.513726,419.0,1570045412.4799707,9.054149778464536,1570045414.981021,1.0,0.0,
1570045413.5457344,419.0,1570045412.4899707,8.593148449545264,1570045415.045834,1.0,0.0,
1570045413.5817277,420.0,1570045412.4999707,8.702951202300166,1570045415.1531808,1.0,0.0,
1570045413.6136708,421.0,1570045412.5099707,8.227586983809196,1570045415.2170534,1.0,0.0,
1570045413.645718,421.0,1570045412.5199707,8.061979077587875,1570045415.3080702,1.0,0.0,
1570045413.6817555,421.0,1570045412.5299706,8.302959831637686,1570045415.3245285,1.0,0.0,
1570045413.7136722,420.0,1570045412.5399706,8.42948631625341,1570045415.3883033,1.0,0.0,
1570045413.7456996,420.0,1570045412.5499706,8.572383341285779,1570045415.4733217,1.0,0.0,
1570045413.7819386,418.0,1570045412.5599706,8.84780875405467,1570045415.5646098,1.0,0.0,
1570045413.813729,415.0,1570045412.5699706,10.875426659353145,1570045415.581036,1.0,0.0,
1570045413.8457284,413.0,1570045412.5799706,11.035861423641393,1570045415.6458762,1.0,0.0,
1570045413.8816843,411.0,1570045412.5899706,11.035861423641393,1570045415.7446282,1.0,0.0,
1570045413.9136996,407.0,1570045412.5999706,13.541501437986195,1570045415.8170776,1.0,0.0,
1570045413.945848,404.0,1570045412.6099706,14.460702443796325,1570045415.9093819,0.0,1.0,
1570045413.9818137,400.0,1570045412.6199706,16.93073698611017,1570045415.9258492,0.0,0.0,
1570045414.0137014,396.0,1570045412.6299706,17.355172694873794,1570045415.9846034,0.0,0.0,
1570045414.0457275,392.0,1570045412.6399705,18.023033866197554,1570045416.0671606,0.0,0.0,
1570045414.0816915,387.0,1570045412.6499705,20.272082554906472,1570045416.1657925,0.0,0.0,
1570045414.1137612,382.0,1570045412.6599705,21.813144675234025,1570045416.1808605,0.0,0.0,
1570045414.1459184,377.0,1570045412.6699705,23.413418623998425,1570045416.3446786,0.0,0.0,
1570045414.1817465,371.0,1570045412.6799705,25.3637946726402,1570045416.3458154,0.0,0.0,
1570045414.21372,366.0,1570045412.6899705,29.391419184860624,1570045416.4157786,0.0,0.0,
1570045414.2459404,360.0,1570045412.6999705,29.391419184860624,1570045416.5808225,-1.0,1.0,
1570045414.2816927,354.0,1570045412.7099705,30.049739746383917,1570045416.5819936,-1.0,0.0,
1570045414.3138034,348.0,1570045412.7199705,32.74372023975711,1570045416.5832248,-1.0,0.0,
1570045414.3456783,342.0,1570045412.7299705,35.335850203541334,1570045416.6670854,-1.0,0.0,
1570045414.3818839,336.0,1570045412.7399704,36.07258668447709,1570045416.758181,-1.0,0.0,
1570045414.4138722,329.0,1570045412.7499704,40.871329407282275,1570045416.8383968,-1.0,0.0,
1570045414.4459515,323.0,1570045412.7599704,41.76564721499384,1570045416.8619452,-1.0,0.0,
1570045414.481688,317.0,1570045412.7699704,43.09145448200301,1570045416.9458447,-1.0,0.0,
1570045414.5136871,311.0,1570045412.7799704,44.14821028268231,1570045417.0095758,-1.0,0.0,
1570045414.5458248,305.0,1570045412.7899704,47.73420509618261,1570045417.1809185,-1.0,0.0,
1570045414.5817819,300.0,1570045412.7999704,48.96314847840955,1570045417.1821203,-1.0,0.0,
1570045414.6136696,295.0,1570045412.8099704,55.11883048577485,1570045417.1920614,-1.0,0.0,
1570045414.6457243,291.0,1570045412.8199704,55.97848557698505,1570045417.2671325,-1.0,0.0,
1570045414.6818247,287.0,1570045412.8299704,56.92150096016786,1570045417.364638,-1.0,0.0,
1570045414.7137213,284.0,1570045412.8399704,57.9486107198961,1570045417.444789,-1.0,0.0,
1570045414.7457983,282.0,1570045412.8499703,59.42285288892295,1570045417.5421138,-1.0,0.0,
1570045414.7818382,281.0,1570045412.8599703,61.679243181906386,1570045417.5433302,-1.0,0.0,
1570045414.8137345,280.0,1570045412.8699703,64.65924130863827,1570045417.615958,-1.0,0.0,
1570045414.8457074,280.0,1570045412.8799703,64.96158392833857,1570045417.7246373,-1.0,0.0,
1570045414.881702,282.0,1570045412.8899703,67.81680225373562,1570045417.8059988,1.0,1.0,2.918755054473877
1570045414.9137042,283.0,1570045412.8999703,69.06951503894781,1570045417.8721914,1.0,0.0,
1570045414.9456682,287.0,1570045412.9099703,70.7243498184295,1570045417.964654,1.0,0.0,
1570045414.98191,293.0,1570045412.9199703,75.86949037752898,1570045418.0470994,1.0,0.0,
1570045415.0137992,297.0,1570045412.9299703,75.86949037752898,1570045418.1445937,1.0,0.0,
1570045415.0458257,305.0,1570045412.9399703,79.86989409124052,1570045418.145925,1.0,0.0,
1570045415.081671,312.0,1570045412.9499702,81.04998923437837,1570045418.215896,1.0,0.0,
1570045415.1140244,320.0,1570045412.9599702,81.71606777737644,1570045418.3008697,1.0,0.0,
