t_seat_pos,seat_pos,t_imus,qang,t_leg_stim,leg_stim,pic_leg_stim,leg_stim_duration
1570043800.2071762,278.0,1570043800.1991925,71.81847747322134,1570043800.1905527,1.0,1.0,
1570043800.2391777,283.0,1570043800.2091925,71.81847747322134,1570043800.2603137,1.0,0.0,
1570043800.2751675,288.0,1570043800.2191925,71.08352299630417,1570043800.3227742,1.0,0.0,
1570043800.3074105,294.0,1570043800.2291925,69.2969538145766,1570043800.3815284,1.0,0.0,
1570043800.3392444,301.0,1570043800.2391925,67.94876027638033,1570043800.4377618,1.0,0.0,
1570043800.3754237,308.0,1570043800.2491925,67.94876027638033,1570043800.5066085,1.0,0.0,
1570043800.4071646,316.0,1570043800.2591925,66.13992897505342,1570043800.5728428,1.0,0.0,
1570043800.4392927,324.0,1570043800.2691925,66.13992897505342,1570043800.639138,1.0,0.0,
1570043800.475323,332.0,1570043800.2791924,65.56590407758686,1570043800.7053957,1.0,0.0,
1570043800.5071628,340.0,1570043800.2891924,64.79791725875543,1570043800.8003576,1.0,0.0,
1570043800.5391533,347.0,1570043800.2991924,64.79791725875543,1570043800.8568459,1.0,0.0,
1570043800.5752597,354.0,1570043800.3091924,64.66159200888258,1570043800.921756,1.0,0.0,
1570043800.607189,362.0,1570043800.3191924,64.65852680768509,1570043800.978087,1.0,0.0,
1570043800.6392112,367.0,1570043800.3291924,64.65852680768509,1570043801.0381403,1.0,0.0,
1570043800.6751456,373.0,1570043800.3391924,64.65852680768509,1570043801.1027992,0.0,1.0,
1570043800.7071526,379.0,1570043800.3491924,64.65852680768509,1570043801.1678247,0.0,0.0,
1570043800.7391562,384.0,1570043800.3591924,64.67396833860187,1570043801.2340384,0.0,0.0,
1570043800.7753696,387.0,1570043800.3691924,64.67396833860187,1570043801.3015573,0.0,0.0,
1570043800.8071496,391.0,1570043800.3791924,63.54367322027972,1570043801.3706086,0.0,0.0,
1570043800.8391912,394.0,1570043800.3891923,63.54367322027972,1570043801.4581609,0.0,0.0,
1570043800.8751223,397.0,1570043800.3991923,62.468342173081545,1570043801.5215633,0.0,0.0,
1570043800.9072058,398.0,1570043800.4091923,61.16410721098427,1570043801.5681036,0.0,0.0,
1570043800.939202,400.0,1570043800.4191923,61.16410721098427,1570043801.6380966,-1.0,1.0,
1570043800.9751406,400.0,1570043800.4291923,61.16410721098427,1570043801.7015357,-1.0,0.0,
1570043801.0071611,401.0,1570043800.4391923,60.71384505665619,1570043801.7678251,-1.0,0.0,
1570043801.0391932,403.0,1570043800.4491923,60.78141939613957,1570043801.8341029,-1.0,0.0,
1570043801.0751534,402.0,1570043800.4591923,60.78141939613957,1570043801.9004824,-1.0,0.0,
1570043801.1071525,403.0,1570043800.4691923,61.043353671192236,1570043801.966542,-1.0,0.0,
1570043801.1393309,403.0,1570043800.4791923,61.494050401800536,1570043802.0582097,-1.0,0.0,
1570043801.1750913,403.0,1570043800.4891922,61.494050401800536,1570043802.1215844,-1.0,0.0,
1570043801.2071538,403.0,1570043800.4991922,61.494050401800536,1570043802.1781287,-1.0,0.0,
1570043801.2391264,403.0,1570043800.5091922,59.92393046607643,1570043802.2403002,-1.0,0.0,
1570043801.2751513,403.0,1570043800.5191922,59.92393046607643,1570043802.3091512,-1.0,0.0,
1570043801.307151,403.0,1570043800.5291922,59.92393046607643,1570043802.3652997,-1.0,0.0,
1570043801.3391557,404.0,1570043800.5391922,59.92393046607643,1570043802.4316125,-1.0,0.0,
1570043801.3751671,403.0,1570043800.5491922,59.92393046607643,1570043802.5016,-1.0,0.0,
1570043801.4072104,404.0,1570043800.5591922,59.83763655916769,1570043802.5665581,-1.0,0.0,
1570043801.4391258,403.0,1570043800.5691922,59.83763655916769,1570043802.633154,-1.0,0.0,
1570043801.4751232,404.0,1570043800.5791922,59.301160170020246,1570043802.7167919,-1.0,0.0,
1570043801.5071793,404.0,1570043800.5891922,59.301160170020246,1570043802.7781017,-1.0,0.0,
1570043801.5391564,404.0,1570043800.5991921,59.301160170020246,1570043802.8381789,-1.0,0.0,
1570043801.5751538,404.0,1570043800.6091921,59.301160170020246,1570043802.906552,-1.0,0.0,
1570043801.6071603,405.0,1570043800.6191921,59.301160170020246,1570043803.0303283,1.0,1.0,
1570043801.6391575,405.0,1570043800.629192,59.301160170020246,1570043803.0965428,1.0,0.0,
