t_seat_pos,seat_pos,t_imus,qang,t_leg_stim,leg_stim,pic_leg_stim,leg_stim_duration
1570044431.6280272,273.0,1570044431.6299505,7.892259476708986,1570044431.6220498,1.0,1.0,
1570044431.6602411,276.0,1570044431.6399505,8.122209743997875,1570044431.689518,1.0,0.0,
1570044431.696041,279.0,1570044431.6499505,7.931719734902108,1570044431.7660632,1.0,0.0,
1570044431.7280552,284.0,1570044431.6599505,7.735736415706877,1570044431.8411095,1.0,0.0,
1570044431.7641618,289.0,1570044431.6699505,7.437019047812772,1570044431.8986256,1.0,0.0,
1570044431.796272,295.0,1570044431.6799505,7.177424537133068,1570044431.9598188,1.0,0.0,
1570044431.8281345,302.0,1570044431.6899505,7.3479688082953025,1570044432.0259054,1.0,0.0,
1570044431.8603456,309.0,1570044431.6999505,6.3962150852768165,1570044432.1470654,1.0,0.0,
1570044431.8959985,318.0,1570044431.7099504,6.2662615468540235,1570044432.1595848,1.0,0.0,
1570044431.9280374,327.0,1570044431.7199504,5.951904601488833,1570044432.224506,1.0,0.0,
1570044431.9640853,337.0,1570044431.7299504,5.3872269961824495,1570044432.3232603,1.0,0.0,
1570044431.9960349,347.0,1570044431.7399504,5.3872269961824495,1570044432.362364,1.0,0.0,
1570044432.0280702,356.0,1570044431.7499504,5.8706386379808695,1570044432.4247887,1.0,0.0,
1570044432.0600476,365.0,1570044431.7599504,5.510304438905953,1570044432.4999154,1.0,0.0,
1570044432.096269,372.0,1570044431.7699504,5.149398869256284,1570044432.5645962,1.0,0.0,
1570044432.128228,380.0,1570044431.7799504,5.149398869256284,1570044432.623349,1.0,0.0,
1570044432.1640322,385.0,1570044431.7899504,4.661534186635048,1570044432.689606,1.0,0.0,
1570044432.1960902,390.0,1570044431.7999504,4.507160662872929,1570044432.7558658,0.0,1.0,
1570044432.2281127,394.0,1570044431.8099504,4.466510762756587,1570044432.8208518,0.0,0.0,
1570044432.2600462,396.0,1570044431.8199503,4.02765640693795,1570044432.892388,0.0,0.0,
1570044432.2960727,398.0,1570044431.8299503,3.7704862824653587,1570044432.9723413,0.0,0.0,
1570044432.3280613,400.0,1570044431.8399503,3.454333247987725,1570044433.044595,0.0,0.0,
1570044432.364029,400.0,1570044431.8499503,3.577341723485797,1570044433.1046271,-1.0,1.0,
1570044432.3961406,400.0,1570044431.8599503,6.143900748173027,1570044433.1611185,-1.0,0.0,
1570044432.4281235,402.0,1570044431.8699503,5.698891951681453,1570044433.223352,-1.0,0.0,
1570044432.4600413,401.0,1570044431.8799503,5.563080471145823,1570044433.292066,-1.0,0.0,
1570044432.4960806,402.0,1570044431.8899503,5.6554399356858,1570044433.3545563,-1.0,0.0,
1570044432.5280995,403.0,1570044431.8999503,6.159917374353352,1570044433.4222019,-1.0,0.0,
1570044432.5640655,402.0,1570044431.9099503,6.231285815807466,1570044433.4883146,-1.0,0.0,
1570044432.5961378,403.0,1570044431.9199502,6.148377579591361,1570044433.5811567,-1.0,0.0,
1570044432.6281083,403.0,1570044431.9299502,5.978209937879872,1570044433.6248808,-1.0,0.0,
1570044432.6601307,404.0,1570044431.9399502,6.305510795186864,1570044433.699897,-1.0,0.0,
1570044432.6961129,404.0,1570044431.9499502,6.473732408258759,1570044433.7634232,-1.0,0.0,
1570044432.7281165,403.0,1570044431.9599502,6.462195387006005,1570044433.8233337,-1.0,0.0,
1570044432.7640545,405.0,1570044431.9699502,6.470262108813216,1570044434.0283456,1.0,1.0,
1570044432.7960765,404.0,1570044431.9799502,6.4939251762245505,1570044434.087132,1.0,0.0,
1570044432.8280523,405.0,1570044431.9899502,6.617786701572728,1570044434.15366,1.0,0.0,
1570044432.860121,404.0,1570044431.9999502,7.3887861154638275,1570044434.2411597,1.0,0.0,
1570044432.8960955,405.0,1570044432.0099502,11.440701559693444,1570044434.3020933,1.0,0.0,
1570044432.928123,405.0,1570044432.0199502,10.303218875754311,1570044434.3536634,1.0,0.0,
1570044432.9640617,405.0,1570044432.0299501,10.303218875754311,1570044434.4212394,1.0,0.0,
1570044432.996083,405.0,1570044432.0399501,9.082499103062535,1570044434.48583,1.0,0.0,
1570044433.0281286,405.0,1570044432.0499501,9.687706945145464,1570044434.5508761,1.0,0.0,
1570044433.060284,404.0,1570044432.05995,9.642761049155764,1570044434.62582,1.0,0.0,
1570044433.0961306,405.0,1570044432.06995,11.05866157281434,1570044434.6858833,1.0,0.0,
1570044433.128108,403.0,1570044432.07995,11.05866157281434,1570044434.7496147,1.0,0.0,
1570044433.1641307,401.0,1570044432.08995,11.05866157281434,1570044434.8411732,1.0,0.0,
1570044433.196092,398.0,1570044432.09995,11.1113844077284,1570044434.9021268,1.0,0.0,
1570044433.228093,396.0,1570044432.10995,10.84081128402392,1570044434.961176,1.0,0.0,
1570044433.2601178,392.0,1570044432.11995,11.529320726848658,1570044435.0233936,1.0,0.0,
1570044433.2961135,387.0,1570044432.12995,11.529320726848658,1570044435.103382,1.0,0.0,
1570044433.3282676,383.0,1570044432.13995,14.097653604063456,1570044435.1472113,0.0,1.0,
1570044433.3641486,378.0,1570044432.14995,13.776738632291933,1570044435.2133527,0.0,0.0,
1570044433.3961532,373.0,1570044432.15995,13.776738632291933,1570044435.283361,0.0,0.0,
1570044433.4281516,366.0,1570044432.16995,13.649239078065868,1570044435.3471165,0.0,0.0,
1570044433.4601057,361.0,1570044432.17995,12.962999600295046,1570044435.4136899,0.0,0.0,
1570044433.4961057,354.0,1570044432.18995,13.35634396965957,1570044435.499934,-1.0,1.0,
1570044433.528105,348.0,1570044432.19995,17.509398937558764,1570044435.5599692,-1.0,0.0,
1570044433.5640736,341.0,1570044432.20995,17.290341241886413,1570044435.6211984,-1.0,0.0,
1570044433.5961456,335.0,1570044432.21995,17.236582286255192,1570044435.6846597,-1.0,0.0,
1570044433.6281178,328.0,1570044432.22995,17.236582286255192,1570044435.7446587,-1.0,0.0,
1570044433.660117,321.0,1570044432.23995,17.94005475050703,1570044435.812154,-1.0,0.0,
1570044433.6961153,315.0,1570044432.24995,19.365259695558567,1570044435.8784392,-1.0,0.0,
1570044433.728198,308.0,1570044432.25995,20.31983245407701,1570044435.9484103,-1.0,0.0,
1570044433.7645419,302.0,1570044432.26995,21.745917741163588,1570044436.0109036,-1.0,0.0,
1570044433.7961755,296.0,1570044432.27995,23.5837314370917,1570044436.0849555,-1.0,0.0,
1570044433.8281155,291.0,1570044432.28995,25.08219775839524,1570044436.1612148,-1.0,0.0,
1570044433.860072,286.0,1570044432.29995,26.187985234306254,1570044436.2112398,-1.0,0.0,
1570044433.896132,281.0,1570044432.3099499,29.580863821897964,1570044436.410932,1.0,1.0,
1570044433.9283507,279.0,1570044432.3199499,33.551236208300864,1570044436.4746068,1.0,0.0,
1570044433.9640954,275.0,1570044432.3299499,35.1381564139408,1570044436.54464,1.0,0.0,
1570044433.9961038,274.0,1570044432.3399498,37.53783680176702,1570044436.6084187,1.0,0.0,
1570044434.0281534,273.0,1570044432.3499498,40.47184099894737,1570044436.68,1.0,0.0,
1570044434.0602098,273.0,1570044432.3599498,41.195979270823216,1570044436.763449,1.0,0.0,
1570044434.0960937,272.0,1570044432.3699498,42.19706678654036,1570044436.821217,1.0,0.0,
1570044434.1281002,275.0,1570044432.3799498,48.76423212808691,1570044436.884662,1.0,0.0,
1570044434.164143,276.0,1570044432.3899498,48.76423212808691,1570044436.9447167,1.0,0.0,
1570044434.1962473,280.0,1570044432.3999498,48.76423212808691,1570044437.004696,1.0,0.0,
1570044434.2283342,285.0,1570044432.4099498,51.56234443162046,1570044437.0722,1.0,0.0,
1570044434.2602134,289.0,1570044432.4199498,53.751117699355014,1570044437.1372263,1.0,0.0,
1570044434.2961833,296.0,1570044432.4299498,61.04882920785294,1570044437.207156,1.0,0.0,
1570044434.3281794,302.0,1570044432.4399498,62.53707381175879,1570044437.2709732,1.0,0.0,
1570044434.364131,310.0,1570044432.4499497,62.53707381175879,1570044437.3424344,1.0,0.0,
1570044434.3961856,319.0,1570044432.4599497,62.939041618932215,1570044437.421266,1.0,0.0,
1570044434.4281406,327.0,1570044432.4699497,70.1670358112614,1570044437.484666,1.0,0.0,
1570044434.4601424,336.0,1570044432.4799497,70.1670358112614,1570044437.5434477,0.0,1.0,
1570044434.496178,345.0,1570044432.4899497,71.77170079302624,1570044437.6096928,0.0,0.0,
1570044434.5282903,355.0,1570044432.4999497,71.77170079302624,1570044437.6709132,0.0,0.0,
1570044434.5641603,362.0,1570044432.5099497,87.30374486734583,1570044437.744684,0.0,0.0,
1570044434.5961192,371.0,1570044432.5199497,87.61612478868749,1570044437.8008857,0.0,0.0,
1570044434.6281316,377.0,1570044432.5299497,88.36587470368082,1570044437.8671615,-1.0,1.0,
1570044434.6601467,384.0,1570044432.5399497,88.36587470368082,1570044437.963431,-1.0,0.0,
1570044434.696193,389.0,1570044432.5499496,88.71457424866708,1570044438.0199637,-1.0,0.0,3.246281385421753
1570044434.728084,392.0,1570044432.5599496,89.40412705601719,1570044438.0859942,-1.0,0.0,
1570044434.7641704,396.0,1570044432.5699496,91.35005407754191,1570044438.144741,-1.0,0.0,
1570044434.796221,398.0,1570044432.5799496,91.35005407754191,1570044438.2000153,-1.0,0.0,
1570044434.8281844,399.0,1570044432.5899496,92.117252258938,1570044438.2659576,-1.0,0.0,
1570044434.8602846,400.0,1570044432.5999496,94.60424412306358,1570044438.335915,-1.0,0.0,
1570044434.896166,400.0,1570044432.6099496,97.93444539783503,1570044438.3984995,-1.0,0.0,
1570044434.9282854,401.0,1570044432.6199496,99.4382376082902,1570044438.4659193,-1.0,0.0,
1570044434.9641964,402.0,1570044432.6299496,100.56131740541653,1570044438.543781,-1.0,0.0,
1570044434.996188,402.0,1570044432.6399496,102.94183220011458,1570044438.6212287,-1.0,0.0,
1570044435.0281994,403.0,1570044432.6499496,103.26412448431813,1570044438.8035004,1.0,1.0,
1570044435.060284,403.0,1570044432.6599495,104.43807810922564,1570044438.8634646,1.0,0.0,
1570044435.096207,403.0,1570044432.6699495,104.43807810922564,1570044438.9538043,1.0,0.0,
1570044435.1291912,403.0,1570044432.6799495,104.82117044021724,1570044439.0034654,1.0,0.0,
1570044435.1641412,403.0,1570044432.6899495,104.82117044021724,1570044439.0634575,1.0,0.0,
1570044435.1961393,404.0,1570044432.6999495,104.29156530295636,1570044439.132506,1.0,0.0,
1570044435.2282143,403.0,1570044432.7099495,104.29156530295636,1570044439.221316,1.0,0.0,
1570044435.2601714,404.0,1570044432.7199495,104.4075536149645,1570044439.284717,1.0,0.0,
1570044435.2963073,404.0,1570044432.7299495,99.99853357251403,1570044439.341333,1.0,0.0,
1570044435.3282855,405.0,1570044432.7399495,100.16520064129526,1570044439.4013634,1.0,0.0,
1570044435.3641832,404.0,1570044432.7499495,100.16520064129526,1570044439.4646714,1.0,0.0,
1570044435.3961554,404.0,1570044432.7599494,99.77297994253131,1570044439.5334263,1.0,0.0,
1570044435.428207,405.0,1570044432.7699494,99.77297994253131,1570044439.5959978,1.0,0.0,
1570044435.4602664,404.0,1570044432.7799494,98.20718427191049,1570044439.6622744,1.0,0.0,
1570044435.496183,404.0,1570044432.7899494,97.5506811605839,1570044439.7297237,1.0,0.0,
1570044435.5281804,405.0,1570044432.7999494,95.34839584791727,1570044439.823478,1.0,0.0,
1570044435.564159,404.0,1570044432.8099494,95.34839584791727,1570044439.8847466,1.0,0.0,
1570044435.596171,403.0,1570044432.8199494,92.37201935819265,1570044439.9413147,0.0,1.0,
1570044435.6282341,403.0,1570044432.8299494,92.1854856927438,1570044440.0035357,0.0,0.0,
1570044435.660177,401.0,1570044432.8399494,91.83285317418505,1570044440.060059,0.0,0.0,
1570044435.696164,399.0,1570044432.8499494,88.7177407331802,1570044440.1272588,0.0,0.0,
1570044435.728425,396.0,1570044432.8599494,87.72463102903829,1570044440.1923134,0.0,0.0,
1570044435.7642252,394.0,1570044432.8699493,87.05882230377618,1570044440.258491,-1.0,1.0,
1570044435.796169,390.0,1570044432.8799493,82.04978941137311,1570044440.3260326,-1.0,0.0,
1570044435.828135,386.0,1570044432.8899493,81.84634173332265,1570044440.4235215,-1.0,0.0,
1570044435.8602111,381.0,1570044432.8999493,80.93709770307157,1570044440.4823174,-1.0,0.0,
1570044435.8961573,376.0,1570044432.9099493,80.93709770307157,1570044440.5287995,-1.0,0.0,
1570044435.9281902,371.0,1570044432.9199493,74.8444530238103,1570044440.604812,-1.0,0.0,
1570044435.9641712,365.0,1570044432.9299493,74.3958488647653,1570044440.660099,-1.0,0.0,
1570044435.9965253,359.0,1570044432.9399493,73.76004440520175,1570044440.7223039,-1.0,0.0,
1570044436.0282204,353.0,1570044432.9499493,73.16252002287926,1570044440.788543,-1.0,0.0,
1570044436.0602415,347.0,1570044432.9599493,72.5371277457262,1570044440.8547883,-1.0,0.0,
1570044436.096193,340.0,1570044432.9699492,70.68927932440307,1570044440.9222417,-1.0,0.0,
1570044436.1283288,333.0,1570044432.9799492,69.17083443121177,1570044440.991047,-1.0,0.0,
1570044436.1642327,327.0,1570044432.9899492,67.68364788640889,1570044441.2012966,1.0,1.0,
1570044436.196286,320.0,1570044432.9999492,64.41042615108634,1570044441.26226,1.0,0.0,
1570044436.2282772,314.0,1570044433.0099492,63.09876663902217,1570044441.326088,1.0,0.0,3.1737000942230225
1570044436.2601871,307.0,1570044433.0199492,58.06550955372048,1570044441.3885796,1.0,0.0,
1570044436.2962584,301.0,1570044433.0299492,56.67017700639128,1570044441.452269,1.0,0.0,
1570044436.328144,295.0,1570044433.0399492,56.67017700639128,1570044441.521105,1.0,0.0,
1570044436.3641746,289.0,1570044433.0499492,55.405975663323005,1570044441.5860915,1.0,0.0,
1570044436.396151,286.0,1570044433.0599492,53.55883733312472,1570044441.6510646,1.0,0.0,
1570044436.4281847,281.0,1570044433.0699492,52.60047282134447,1570044441.744778,1.0,0.0,
1570044436.4603324,278.0,1570044433.0799491,50.77070507138145,1570044441.802339,1.0,0.0,
1570044436.4961898,276.0,1570044433.0899491,47.277539015521654,1570044441.905138,1.0,0.0,
1570044436.5281882,274.0,1570044433.0999491,43.94836962613833,1570044441.9335737,1.0,0.0,
1570044436.564166,274.0,1570044433.109949,43.94836962613833,1570044441.9872854,1.0,0.0,
1570044436.5964165,273.0,1570044433.119949,43.507077228243915,1570044442.1298296,1.0,0.0,
1570044436.6283188,273.0,1570044433.129949,42.36203428389612,1570044442.1910615,1.0,0.0,
1570044436.6601994,276.0,1570044433.139949,41.24830253396142,1570044442.192538,1.0,0.0,
1570044436.69619,277.0,1570044433.149949,37.982755413479275,1570044442.2538404,1.0,0.0,
1570044436.7281914,282.0,1570044433.159949,37.69613385683981,1570044442.3598115,0.0,1.0,
1570044436.7644877,285.0,1570044433.169949,37.09056329911742,1570044442.403557,0.0,0.0,
1570044436.796157,291.0,1570044433.179949,35.38980550701228,1570044442.524835,0.0,0.0,
