t_seat_pos,seat_pos,t_imus,qang,t_leg_stim,leg_stim,pic_leg_stim,leg_stim_duration
1570044028.6437542,284.0,1570044028.6489747,69.37516229047043,1570044028.642458,1.0,1.0,
1570044028.6797764,289.0,1570044028.6589746,68.98451183748192,1570044028.7086947,1.0,0.0,
1570044028.7117295,295.0,1570044028.6689746,65.23262585907938,1570044028.7737155,1.0,0.0,
1570044028.743893,302.0,1570044028.6789746,65.23262585907938,1570044028.8749743,1.0,0.0,
1570044028.779738,310.0,1570044028.6889746,65.23262585907938,1570044028.9201741,1.0,0.0,
1570044028.8118029,318.0,1570044028.6989746,65.23262585907938,1570044028.9850233,1.0,0.0,
1570044028.8437977,326.0,1570044028.7089746,65.23262585907938,1570044029.0462132,1.0,0.0,
1570044028.8800247,334.0,1570044028.7189746,65.23262585907938,1570044029.1049104,1.0,0.0,
1570044028.9118097,342.0,1570044028.7289746,65.23262585907938,1570044029.1712272,1.0,0.0,
1570044028.9437542,350.0,1570044028.7389746,64.32724868281241,1570044029.236205,1.0,0.0,
1570044028.979723,357.0,1570044028.7489746,64.32724868281241,1570044029.3037615,1.0,0.0,
1570044029.012016,363.0,1570044028.7589746,63.83782376581359,1570044029.369952,0.0,1.0,
1570044029.0438905,369.0,1570044028.7689745,63.83782376581359,1570044029.525003,0.0,0.0,
1570044029.0797462,375.0,1570044028.7789745,62.40182223206381,1570044029.5862613,0.0,0.0,
1570044029.1117854,380.0,1570044028.7889745,62.40182223206381,1570044029.6462774,0.0,0.0,
1570044029.1437461,383.0,1570044028.7989745,62.40182223206381,1570044029.7050247,0.0,0.0,
1570044029.1798751,387.0,1570044028.8089745,60.414343032930354,1570044029.7674732,0.0,0.0,
1570044029.2117867,389.0,1570044028.8189745,60.414343032930354,1570044029.8337424,0.0,0.0,
1570044029.243774,391.0,1570044028.8289745,59.54303219706672,1570044029.9000099,0.0,0.0,
1570044029.279775,393.0,1570044028.8389745,59.14428740930322,1570044029.9675276,0.0,0.0,
1570044029.312084,394.0,1570044028.8489745,58.55817022245082,1570044030.0353897,-1.0,1.0,
1570044029.3438628,395.0,1570044028.8589745,58.55817022245082,1570044030.135031,-1.0,0.0,
1570044029.3797724,396.0,1570044028.8689744,58.20510890069891,1570044030.1875162,-1.0,0.0,
1570044029.4117796,397.0,1570044028.8789744,58.20510890069891,1570044030.2450478,-1.0,0.0,
1570044029.4437737,398.0,1570044028.8889744,58.012024553376406,1570044030.3051014,-1.0,0.0,
1570044029.4797657,398.0,1570044028.8989744,57.87816956943641,1570044030.3725424,-1.0,0.0,
1570044029.511803,398.0,1570044028.9089744,57.87816956943641,1570044030.4313009,-1.0,0.0,
1570044029.5438097,399.0,1570044028.9189744,57.76300971164738,1570044030.4963188,-1.0,0.0,
1570044029.5797915,398.0,1570044028.9289744,57.76300971164738,1570044030.6050518,-1.0,0.0,
1570044029.6118088,399.0,1570044028.9389744,57.006526144277295,1570044030.63006,-1.0,0.0,
1570044029.6438284,399.0,1570044028.9489744,57.006526144277295,1570044030.7016478,-1.0,0.0,
1570044029.6797864,400.0,1570044028.9589744,55.984350708331505,1570044030.7850337,-1.0,0.0,
1570044029.7118306,400.0,1570044028.9689744,55.984350708331505,1570044030.846336,-1.0,0.0,
1570044029.7437947,400.0,1570044028.9789743,55.984350708331505,1570044030.9051614,-1.0,0.0,
1570044029.7803204,400.0,1570044028.9889743,55.984350708331505,1570044030.9651103,-1.0,0.0,
1570044029.811822,401.0,1570044028.9989743,55.8213134562465,1570044031.0276258,-1.0,0.0,
1570044029.8438532,400.0,1570044029.0089743,55.61255061908357,1570044031.0938253,-1.0,0.0,
1570044029.8797522,400.0,1570044029.0189743,55.21864788841564,1570044031.1601386,-1.0,0.0,
1570044029.911843,401.0,1570044029.0289743,54.45679647023416,1570044031.2263446,-1.0,0.0,
1570044029.9441428,400.0,1570044029.0389743,54.45679647023416,1570044031.291273,-1.0,0.0,
1570044029.9797742,400.0,1570044029.0489743,53.030153270422595,1570044031.3913283,-1.0,0.0,
1570044030.0117948,400.0,1570044029.0589743,53.030153270422595,1570044031.5050619,1.0,1.0,
1570044030.0438044,400.0,1570044029.0689743,53.030153270422595,1570044031.5675814,1.0,0.0,
1570044030.0798388,397.0,1570044029.0789742,51.88645904090301,1570044031.6276155,1.0,0.0,
1570044030.1118598,396.0,1570044029.0889742,51.52880568774521,1570044031.693859,1.0,0.0,
1570044030.143856,394.0,1570044029.0989742,51.18821241576049,1570044031.761336,1.0,0.0,
1570044030.1797693,391.0,1570044029.1089742,50.178120952699096,1570044031.8288891,1.0,0.0,
1570044030.21196,390.0,1570044029.1189742,50.178120952699096,1570044031.8926213,1.0,0.0,
1570044030.243892,386.0,1570044029.1289742,50.178120952699096,1570044031.966683,1.0,0.0,
1570044030.279828,384.0,1570044029.1389742,48.690951695571684,1570044032.045115,1.0,0.0,
1570044030.3118548,380.0,1570044029.1489742,48.11703279289896,1570044032.1003702,1.0,0.0,
1570044030.3438416,377.0,1570044029.1589742,45.983367204984326,1570044032.1663413,1.0,0.0,
1570044030.3798423,373.0,1570044029.1689742,45.983367204984326,1570044032.2238426,0.0,1.0,
1570044030.4118447,370.0,1570044029.1789742,44.757089353162804,1570044032.3576407,0.0,0.0,
1570044030.4438705,366.0,1570044029.1889741,43.73227984316957,1570044032.4651697,0.0,0.0,
1570044030.479794,362.0,1570044029.1989741,41.6389016130523,1570044032.5191498,0.0,0.0,
1570044030.5119305,358.0,1570044029.2089741,41.6389016130523,1570044032.5826159,0.0,0.0,
1570044030.5439546,354.0,1570044029.218974,40.9256893601279,1570044032.628008,0.0,0.0,
1570044030.5798304,350.0,1570044029.228974,40.21212300129199,1570044032.715164,0.0,0.0,
1570044030.611835,346.0,1570044029.238974,36.440848028550825,1570044032.7638893,0.0,0.0,
1570044030.6438632,342.0,1570044029.248974,36.440848028550825,1570044032.8264112,0.0,0.0,
1570044030.680158,338.0,1570044029.258974,36.440848028550825,1570044032.8901272,-1.0,1.0,
1570044030.7118754,335.0,1570044029.268974,31.65463890987508,1570044032.9576519,-1.0,0.0,
1570044030.7438753,330.0,1570044029.278974,31.65463890987508,1570044033.0263674,-1.0,0.0,
1570044030.7798748,326.0,1570044029.288974,31.65463890987508,1570044033.0889263,-1.0,0.0,
1570044030.8119009,321.0,1570044029.298974,30.857692856951704,1570044033.1554618,-1.0,0.0,
1570044030.8440416,318.0,1570044029.308974,24.64026271309594,1570044033.2451906,-1.0,0.0,
1570044030.8798652,312.0,1570044029.318974,24.64026271309594,1570044033.3064005,-1.0,0.0,
1570044030.9118574,308.0,1570044029.328974,24.64026271309594,1570044033.3664758,-1.0,0.0,
1570044030.943881,303.0,1570044029.338974,24.64026271309594,1570044033.4289513,-1.0,0.0,
1570044030.9799101,298.0,1570044029.348974,24.64026271309594,1570044033.48643,-1.0,0.0,
1570044031.011808,294.0,1570044029.358974,24.059466934748983,1570044033.55266,-1.0,0.0,
1570044031.043895,289.0,1570044029.368974,23.528369372398156,1570044033.6226797,-1.0,0.0,
1570044031.0798063,285.0,1570044029.378974,22.46721276877309,1570044033.6876514,-1.0,0.0,
1570044031.1118941,281.0,1570044029.388974,22.46721276877309,1570044033.785202,-1.0,0.0,
1570044031.144012,278.0,1570044029.398974,22.46721276877309,1570044033.8452525,-1.0,0.0,
1570044031.1799195,276.0,1570044029.408974,23.06937017968329,1570044033.901723,-1.0,0.0,
1570044031.2118618,273.0,1570044029.418974,23.54240433821066,1570044033.976435,-1.0,0.0,
1570044031.2438567,272.0,1570044029.428974,23.54240433821066,1570044034.0226438,-1.0,0.0,
1570044031.2799592,270.0,1570044029.438974,31.7181421547259,1570044034.0889637,-1.0,0.0,
1570044031.3120046,270.0,1570044029.448974,31.7181421547259,1570044034.1564307,-1.0,0.0,
1570044031.3439822,270.0,1570044029.458974,31.7181421547259,1570044034.2214766,-1.0,0.0,
1570044031.3798926,271.0,1570044029.4689739,31.7181421547259,1570044034.3852062,1.0,1.0,
1570044031.4119108,273.0,1570044029.4789739,31.7181421547259,1570044034.433008,1.0,0.0,
1570044031.4439442,276.0,1570044029.4889739,32.87991191588592,1570044034.5052078,1.0,0.0,
1570044031.4798708,279.0,1570044029.4989738,34.557984126277525,1570044034.5651991,1.0,0.0,
1570044031.511891,283.0,1570044029.5089738,39.103915978846146,1570044034.6251884,1.0,0.0,
1570044031.5438867,289.0,1570044029.5189738,39.103915978846146,1570044034.6877148,1.0,0.0,
1570044031.5800476,295.0,1570044029.5289738,39.103915978846146,1570044034.7552292,1.0,0.0,
1570044031.6118555,302.0,1570044029.5389738,37.06078983064087,1570044034.826458,1.0,0.0,
1570044031.6438832,310.0,1570044029.5489738,37.06078983064087,1570044034.8889687,1.0,0.0,
