1570043284.7592309,1570043284.759146, 'extension',35,35,40,40,6,6,1,1
1570043284.8266742,1570043284.8265872, 'extension',35,35,40,40,6,6,1,1
1570043284.8891814,1570043284.889092, 'extension',35,35,40,40,6,6,1,1
1570043284.9803927,1570043284.980296, 'extension',35,35,40,40,6,6,1,1
1570043285.04176,1570043285.041603, 'extension',35,35,40,40,6,6,1,1
1570043285.100445,1570043285.10033, 'extension',35,35,40,40,6,6,1,1
1570043285.1691823,1570043285.1690817, 'extension',35,35,40,40,6,6,1,1
1570043285.2217152,1570043285.2215972, 'extension',35,35,40,40,6,6,1,1
1570043285.289205,1570043285.2890823, 'extension',35,35,40,40,6,6,1,1
1570043285.3529608,1570043285.352832, 'extension',35,35,40,40,6,6,1,1
1570043285.4204483,1570043285.42036, 'extension',35,35,40,40,6,6,1,1
1570043285.4866629,1570043285.486581, 'extension',35,35,40,40,6,6,1,1
1570043285.5804644,1570043285.580331, 'stop',35,35,40,40,6,6,1,1
1570043285.7004702,1570043285.7003658, 'stop',35,35,40,40,6,6,1,1
1570043285.760412,1570043285.7603164, 'stop',35,35,40,40,6,6,1,1
1570043285.8204412,1570043285.8203394, 'stop',35,35,40,40,6,6,1,1
1570043285.8879657,1570043285.88784, 'stop',35,35,40,40,6,6,1,1
1570043285.9516697,1570043285.951566, 'stop',35,35,40,40,6,6,1,1
1570043286.019185,1570043286.0190556, 'stop',35,35,40,40,6,6,1,1
1570043286.084226,1570043286.0841014, 'stop',35,35,40,40,6,6,1,1
1570043286.150798,1570043286.1506722, 'stop',35,35,40,40,6,6,1,1
1570043286.2391658,1570043286.2390656, 'flexion',35,35,40,40,6,6,1,1
1570043286.3003917,1570043286.300279, 'flexion',35,35,40,40,6,6,1,1
1570043286.3604822,1570043286.3603406, 'flexion',35,35,40,40,6,6,1,1
1570043286.421671,1570043286.4215517, 'flexion',35,35,40,40,6,6,1,1
1570043286.485467,1570043286.4853437, 'flexion',35,35,40,40,6,6,1,1
1570043286.5491722,1570043286.5490568, 'flexion',35,35,40,40,6,6,1,1
1570043286.6180022,1570043286.6178524, 'flexion',35,35,40,40,6,6,1,1
1570043286.684163,1570043286.684033, 'flexion',35,35,40,40,6,6,1,1
1570043286.7506862,1570043286.7505732, 'flexion',35,35,40,40,6,6,1,1
1570043286.8219814,1570043286.8218682, 'flexion',35,35,40,40,6,6,1,1
1570043286.9066548,1570043286.9065647, 'flexion',35,35,40,40,6,6,1,1
1570043286.9604125,1570043286.9603307, 'flexion',35,35,40,40,6,6,1,1
1570043287.0204232,1570043287.0203378, 'flexion',35,35,40,40,6,6,1,1
1570043287.0829144,1570043287.0828097, 'flexion',35,35,40,40,6,6,1,1
1570043287.1479084,1570043287.147833, 'flexion',35,35,40,40,6,6,1,1
1570043287.2141774,1570043287.214084, 'flexion',35,35,40,40,6,6,1,1
1570043287.2804337,1570043287.2803, 'flexion',35,35,40,40,6,6,1,1
1570043287.347882,1570043287.3477938, 'flexion',35,35,40,40,6,6,1,1
1570043287.4404218,1570043287.4403014, 'flexion',35,35,40,40,6,6,1,1
1570043287.5004086,1570043287.500292, 'flexion',35,35,40,40,6,6,1,1
1570043287.5544314,1570043287.554344, 'flexion',35,35,40,40,6,6,1,1
1570043287.6203926,1570043287.620303, 'flexion',35,35,40,40,6,6,1,1
1570043287.6817176,1570043287.6815803, 'flexion',35,35,40,40,6,6,1,1
1570043287.7504053,1570043287.750294, 'flexion',35,35,40,40,6,6,1,1
1570043287.811662,1570043287.811552, 'flexion',35,35,40,40,6,6,1,1
1570043287.9478796,1570043287.9477615, 'extension',35,35,40,40,6,6,1,1
1570043288.040383,1570043288.040298, 'extension',35,35,40,40,6,6,1,1
1570043288.081939,1570043288.0818422, 'extension',35,35,40,40,6,6,1,1
1570043288.1604216,1570043288.160332, 'extension',35,35,40,40,6,6,1,1
1570043288.220347,1570043288.22026, 'extension',35,35,40,40,6,6,1,1
1570043288.2816432,1570043288.2815366, 'extension',35,35,40,40,6,6,1,1
1570043288.344148,1570043288.3440366, 'extension',35,35,40,40,6,6,1,1
1570043288.4103832,1570043288.4102716, 'extension',35,35,40,40,6,6,1,1
1570043288.4779909,1570043288.477887, 'extension',35,35,40,40,6,6,1,1
1570043288.5428932,1570043288.5427954, 'extension',35,35,40,40,6,6,1,1
1570043288.6107528,1570043288.6106029, 'extension',35,35,40,40,6,6,1,1
1570043288.7003932,1570043288.7002635, 'extension',35,35,40,40,6,6,1,1
1570043288.7617218,1570043288.7615418, 'stop',35,35,40,40,6,6,1,1
1570043288.885429,1570043288.8852727, 'stop',35,35,40,40,6,6,1,1
1570043288.9503942,1570043288.9502652, 'stop',35,35,40,40,6,6,1,1
1570043289.0166862,1570043289.0165443, 'stop',35,35,40,40,6,6,1,1
1570043289.084138,1570043289.084009, 'stop',35,35,40,40,6,6,1,1
1570043289.149162,1570043289.1490293, 'stop',35,35,40,40,6,6,1,1
1570043289.240388,1570043289.2402575, 'stop',35,35,40,40,6,6,1,1
1570043289.3003488,1570043289.300253, 'stop',35,35,40,40,6,6,1,1
1570043289.3603432,1570043289.3602495, 'stop',35,35,40,40,6,6,1,1
1570043289.4216046,1570043289.4215, 'flexion',35,35,40,40,6,6,1,1
1570043289.4816658,1570043289.4815457, 'flexion',35,35,40,40,6,6,1,1
1570043289.559115,1570043289.5590024, 'flexion',35,35,40,40,6,6,1,1
1570043289.6141555,1570043289.6140437, 'flexion',35,35,40,40,6,6,1,1
1570043289.680433,1570043289.6803026, 'flexion',35,35,40,40,6,6,1,1
